OPIS ULTRA LOW SULFUR DISTILLATE GROSS,,,,,,OPIS ULTRA LOW SULFUR DISTILLATE NET,,,
,,,,,,,,,
DATE,RACK AVERAGE (NET),RACK LOW (NET),MARATHON UNBRANDED GROSS,MARATHON BRANDED GROSS,,RACK AVERAGE (GROSS),RACK LOW (GROSS),MARATHON UNBRANDED NET,MARATHON BRANDED NET
1-Jan,225.24,213.85,213.85,216.52,,223.68,213.85,213.85,214.35
2-Jan,225.24,213.85,213.85,216.52,,223.68,213.85,213.85,214.35
3-Jan,221.23,212.85,213.2,215.86,,219.67,212.85,213.2,213.7
4-Jan,226.74,211.85,211.85,214.49,,225.14,211.85,211.85,212.35
5-Jan,221.68,205.85,207.9,210.51,,220.12,205.85,207.9,208.4
6-Jan,222.22,204.4,206.9,209.49,,220.65,204.4,206.9,207.4
8-Jan,222.22,204.4,206.9,209.49,,220.65,204.4,206.9,207.4
9-Jan,217.28,201.1,201.1,203.64,,215.74,201.1,201.1,201.6
10-Jan,237.26,222.35,222.35,225.1,,235.59,222.35,222.35,222.85
11-Jan,237.39,221.35,222.5,225.25,,235.72,221.35,222.5,223
12-Jan,239.74,225.4,226.05,228.84,,238.06,225.4,226.05,226.55
13-Jan,231.16,219.85,223.05,225.81,,229.56,217.1,223.05,223.55
15-Jan,231.16,219.85,223.05,225.81,,229.56,217.1,223.05,223.55
16-Jan,231.71,219.85,223.05,225.81,,230.1,217.1,223.05,223.55
17-Jan,231.47,220.65,220.65,223.38,,229.85,220.65,220.65,221.15
18-Jan,231.04,219.55,219.55,222.27,,229.43,219.55,219.55,220.05
19-Jan,233.53,222.65,222.65,225.4,,231.91,222.65,222.65,223.15
20-Jan,228.64,218.05,218.05,220.76,,227.05,218.05,218.05,218.55
22-Jan,228.64,218.05,218.05,220.76,,227.05,218.05,218.05,218.55
23-Jan,230.74,220.75,220.75,223.48,,229.14,220.75,220.75,221.25
24-Jan,229.98,219.9,219.9,222.63,,228.38,219.9,219.9,220.4
25-Jan,228.83,218.7,218.7,221.41,,227.23,218.7,218.7,219.2
26-Jan,232.19,222.95,222.95,225.7,,230.57,222.95,222.95,223.45
27-Jan,237.77,228.45,228.45,231.26,,236.12,228.28,228.45,228.95
29-Jan,237.77,228.45,228.45,231.26,,236.12,228.28,228.45,228.95
30-Jan,235.46,227.3,227.3,227.8,,237.11,227.3,227.3,230.1
31-Jan,246.12,233.3,233.3,236.16,,244.4,233.3,233.3,233.8
1-Feb,244.15,234.5,234.5,237.37,,242.46,234.5,234.5,235
2-Feb,267.82,256.5,256.5,259.6,,265.96,256.5,256.5,257
3-Feb,261.33,250.4,250.4,253.43,,259.51,250.4,250.4,250.9
5-Feb,261.33,250.4,250.4,253.43,,259.51,250.4,250.4,250.9
6-Feb,265.33,253.65,253.65,256.72,,263.47,253.65,253.65,254.15
7-Feb,276.61,265.4,265.4,268.59,,274.69,265.4,265.4,265.9
8-Feb,280.86,271.55,271.55,274.8,,278.92,268.21,271.55,272.05
9-Feb,288.81,278.5,278.5,281.82,,286.8,278.5,278.5,279
10-Feb,289.78,280.95,280.95,284.29,,287.76,280.77,280.95,281.45
12-Feb,289.78,280.95,280.95,284.29,,287.76,280.77,280.95,281.45
13-Feb,280.46,270.95,270.95,274.19,,278.5,270.95,270.95,271.45
14-Feb,278.04,268.95,268.95,272.17,,276.09,268.95,268.95,269.45
15-Feb,270.03,262.2,262.2,265.35,,268.14,262.14,262.2,262.7
16-Feb,269.84,262.5,262.5,265.66,,267.96,260.24,262.5,263
17-Feb,271.66,263.25,263.25,266.41,,269.75,263.25,263.25,263.75
19-Feb,271.66,263.25,263.25,266.41,,269.75,263.25,263.25,263.75
20-Feb,271.58,263.25,263.25,266.41,,269.68,263.25,263.25,263.75
21-Feb,262.67,251.75,251.75,254.8,,260.84,251.75,251.75,252.25
22-Feb,261.25,251.45,251.45,254.49,,259.44,251.45,251.45,251.95
23-Feb,267.94,258.5,258.5,261.62,,266.07,258.5,258.5,259
24-Feb,265.73,256.55,256.55,259.65,,263.87,256.55,256.55,257.05
26-Feb,265.73,256.55,256.55,259.65,,263.87,256.55,256.55,257.05
27-Feb,272.59,260.7,260.7,263.84,,270.7,260.7,260.7,261.2
28-Feb,275.41,263.85,263.85,267.02,,273.5,263.85,263.85,264.35
29-Feb,271.44,259.5,259.5,262.63,,269.55,259.5,259.5,260
1-Mar,271.02,260.7,260.7,263.84,,269.14,260.7,260.7,261.2
2-Mar,279.12,268.1,268.1,271.31,,277.17,268.1,268.1,268.6
4-Mar,279.13,268.1,268.1,271.31,,277.17,268.1,268.1,268.6
5-Mar,275.63,265.3,265.3,268.48,,273.71,265.3,265.3,265.8
6-Mar,271.54,261.65,261.65,264.8,,269.65,261.65,261.65,262.15
7-Mar,276.9,269,269,272.22,,274.97,269,269,269.5
8-Mar,278.99,272.6,272.6,273.1,,280.95,272.6,272.6,275.86
9-Mar,277.62,270.6,270.6,273.84,,275.69,268.54,270.6,271.1
11-Mar,277.62,270.6,270.6,273.84,,275.69,268.54,270.6,271.1
12-Mar,279.31,271.2,271.2,274.44,,277.37,270.34,271.2,271.7
13-Mar,279.46,270.2,270.2,273.43,,277.51,270.2,270.2,270.7
